note_id,content,sentiment_class,last_modify_ts_y,create_time,type,liked_count,comment_count
644085280000000027000968,Stable diffusion的最大特色没说出来,neutral,1726237235016,1682428136000,normal,3.8万,537
644085280000000027000968,目前所谓的ai创作，其实是通过网络窃取数亿优秀艺术作品作为训练数据才能生成作品的。这种不尊重知识产权的“创作”不值得推崇。应该受到法律的制裁。,positive,1726237235016,1683770308000,normal,3.8万,537
644085280000000027000968,收费吗？,negative,1726237235016,1682392689000,normal,3.8万,537
644085280000000027000968,问就是stable  diffusion最好，上限高，mj下限高，但是上限低，且收费离谱，mj会的sd都会，sd会的mj不一定会,negative,1726237235016,1700736069000,normal,3.8万,537
644085280000000027000968,都是需要收费的,negative,1726237235016,1682530309000,normal,3.8万,537
644085280000000027000968,Stable Diffusion对于高要好的群体来说更合适，可以根据自己的想法生成图片。Midjourney入门比较简单，对于低要好的群体更合适，比如生成一篇文章的插画，插画只要好看、符合当前文章就行。,positive,1726237235016,1702279695000,normal,3.8万,537
644085280000000027000968,sd和mid我都用过，从费用来说sd完胜，免费本地部署，mid要购买会员，一个月小几百。,negative,1726237235016,1707199325000,normal,3.8万,537
644085280000000027000968,有没有一种我给一个照片 它不改变造型特征 生成绘画作品的。 这些我用了它出的只是同类型素材。,positive,1726237235016,1713707831000,normal,3.8万,537
644085280000000027000968,如果想做个小绘本推荐哪个呀,positive,1726237235016,1715662823000,normal,3.8万,537
644085280000000027000968,Civitai是卡通绘画，你认真的吗，这骗到小朋友怎么办？,negative,1726237235016,1704851985000,normal,3.8万,537
644085280000000027000968,肯定是sd目前最强啊,negative,1726237235016,1723517464000,normal,3.8万,537
644085280000000027000968,目前SD和MJ是最厉害的,negative,1726237235016,1723434326000,normal,3.8万,537
644085280000000027000968,最近想学习stable diffusion诶，大家都怎么学的,positive,1726237235016,1723208007000,normal,3.8万,537
644085280000000027000968,好分享,positive,1726237235016,1723187468000,normal,3.8万,537
644085280000000027000968,midjourney 哪下载？,negative,1726237235016,1723171450000,normal,3.8万,537
644085280000000027000968,Midjourney,neutral,1726237235016,1722993870000,normal,3.8万,537
644085280000000027000968,sd上手好难啊,negative,1726237235016,1722306510000,normal,3.8万,537
644085280000000027000968,midjou rne y,neutral,1726237235016,1721439712000,normal,3.8万,537
644085280000000027000968,有免费的吗,positive,1726237235016,1720673523000,normal,3.8万,537
644085280000000027000968,有手机可以用的嘛就是想自己玩玩,positive,1726237235016,1719330845000,normal,3.8万,537
644085280000000027000968,球球,negative,1726237235016,1718876119000,normal,3.8万,537
644085280000000027000968,第一第二两款软件安装包有么,negative,1726237235016,1718160199000,normal,3.8万,537
644085280000000027000968,Midjourney 支持渲染图吗,positive,1726237235016,1716193670000,normal,3.8万,537
644085280000000027000968,怎么找到下载这些软件,negative,1726237235016,1715958682000,normal,3.8万,537
644085280000000027000968,那设计行业还需要设计师吗？,positive,1726237235016,1715320516000,normal,3.8万,537
644085280000000027000968,好分享,positive,1726237235016,1715245331000,normal,3.8万,537
644085280000000027000968,就说手机哪个能下载,negative,1726237235016,1715064106000,normal,3.8万,537
644085280000000027000968,这些软件哪里能下载,negative,1726237235016,1715011274000,normal,3.8万,537
644085280000000027000968,想画立体公仔🧸那个软件合适呀,positive,1726237235016,1714528106000,normal,3.8万,537
644085280000000027000968,请问哪个是免费的？,negative,1726237235016,1713903913000,normal,3.8万,537
644085280000000027000968,哪个网上能用啊,neutral,1726237235016,1713117265000,normal,3.8万,537
644085280000000027000968,有mj不,negative,1726237235016,1712736412000,normal,3.8万,537
644085280000000027000968,我感觉360智绘的涂鸦模式不错,neutral,1726237235016,1712717651000,normal,3.8万,537
644085280000000027000968,你好，怎么学习,positive,1726237235016,1712523633000,normal,3.8万,537
644085280000000027000968,可惜，我M J 关键词不行,negative,1726237235016,1712495117000,normal,3.8万,537
644085280000000027000968,@Yaaaaaoi,neutral,1726237235016,1712042060000,normal,3.8万,537
644085280000000027000968,手机可以下载吗,neutral,1726237235016,1711736325000,normal,3.8万,537
644085280000000027000968,Ai画画有版权吗，ai画好转手绘呢,positive,1726237235016,1711609901000,normal,3.8万,537
644085280000000027000968,Stable diffusion怎么下载,negative,1726237235016,1710816267000,normal,3.8万,537
644085280000000027000968,找一个会ai绘图的小助理，mj或者sd都可以，万+,negative,1726237235016,1710692294000,normal,3.8万,537
644085280000000027000968,谁能帮我ai生成几张图有偿,negative,1726237235016,1710473731000,normal,3.8万,537
644085280000000027000968,iPad 可以用Sd吗,neutral,1726237235016,1710429388000,normal,3.8万,537
644085280000000027000968,上班没时间摸鱼？是你没用好ai！,negative,1726237235016,1710225304000,normal,3.8万,537
644085280000000027000968,pebblely，服装类的也行吗,negative,1726237235016,1710128984000,normal,3.8万,537
644085280000000027000968,mark一下,positive,1726237235016,1709900857000,normal,3.8万,537
644085280000000027000968,像产品网站海报生成，产品精修这种用什么软件好呀,negative,1726237235016,1709779147000,normal,3.8万,537
644085280000000027000968,midjourney,neutral,1726237235016,1709607969000,normal,3.8万,537
644085280000000027000968,新手入门学哪个,positive,1726237235016,1709280920000,normal,3.8万,537
644085280000000027000968,你好，这些软件怎么下载？,negative,1726237235016,1708845889000,normal,3.8万,537
644085280000000027000968,有会画绘本的ai吗,neutral,1726237235016,1708056476000,normal,3.8万,537
644085280000000027000968,stable diffusion  在哪里下载？,negative,1726237235016,1707871731000,normal,3.8万,537
644085280000000027000968,M丿跟sd的优势有什么不同,negative,1726237235016,1707871448000,normal,3.8万,537
644085280000000027000968,哪里能下载？,negative,1726237235016,1707553861000,normal,3.8万,537
644085280000000027000968,想学习第一个，有资料不,positive,1726237235016,1707198955000,normal,3.8万,537
644085280000000027000968,第一个能不能用国内,neutral,1726237235016,1706548086000,normal,3.8万,537
644085280000000027000968,怎么下载第一个,neutral,1726237235016,1706498687000,normal,3.8万,537
644085280000000027000968,在哪下载呀？,negative,1726237235016,1706073386000,normal,3.8万,537
644085280000000027000968,Midiourney,neutral,1726237235016,1706030164000,normal,3.8万,537
644085280000000027000968,英文不好，有支持中文的吗？,neutral,1726237235016,1705849275000,normal,3.8万,537
644085280000000027000968,lucudpic,neutral,1726237235016,1705508735000,normal,3.8万,537
