comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts,like_count
6447d0e80000000015023333,1682428136000,,644085280000000027000968,Stable diffusion的最大特色没说出来,5bbc09b0219cd90001f0ae6b,苏打斯涅の,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30oqejngo3i004bce3i4r1bjbt08ebjg?imageView2/2/w/120/format/jpg,35,,0,1726237236053,244
645c4bc40000000017007bb8,1683770308000,,644085280000000027000968,目前所谓的ai创作，其实是通过网络窃取数亿优秀艺术作品作为训练数据才能生成作品的。这种不尊重知识产权的“创作”不值得推崇。应该受到法律的制裁。,611070f0000000000100b67a,微末,https://sns-avatar-qc.xhscdn.com/avatar/53ba1722242c3e9344db7b0fc2e1005f.jpg?imageView2/2/w/120/format/jpg,56,,0,1726237236054,397
644746710000000018039d27,1682392689000,,644085280000000027000968,收费吗？,62a59cf20000000019029201,吃清蒸鱼的鱼喵喵,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2pacqocek803g5ol5jjp6d4g1j4sqqio?imageView2/2/w/120/format/jpg,35,,0,1726237236069,51
655f2c450000000032034ccf,1700736069000,,644085280000000027000968,问就是stable  diffusion最好，上限高，mj下限高，但是上限低，且收费离谱，mj会的sd都会，sd会的mj不一定会,6157e0320000000002019055,CrazyZrp,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2piu0516ju06g5oans0p0j42lotsfrp0?imageView2/2/w/120/format/jpg,6,,0,1726237236083,42
644960050000000006020fc8,1682530309000,,644085280000000027000968,都是需要收费的,5f09e3770000000001007ad2,韭菜粿,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo316g2p6e51a505no9sdrg8umiqip1kp8?imageView2/2/w/120/format/jpg,9,,0,1726237236102,37
6576ba0f000000001b027f40,1702279695000,,644085280000000027000968,Stable Diffusion对于高要求的群体来说更合适，可以根据自己的想法生成图片。Midjourney入门比较简单，对于低要求的群体更合适，比如生成一篇文章的插画，插画只要好看、符合当前文章就行。,6439648200000000140119e5,独行侠,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30pek9ul15k6g5p1pci1526f5fce0qf0?imageView2/2/w/120/format/jpg,2,,0,1726237236119,15
65c1cb5d000000000800952f,1707199325000,,644085280000000027000968,sd和mid我都用过，从费用来说sd完胜，免费本地部署，mid要购买会员，一个月小几百。,6236a9120000000010009e85,不吃醋的月亮,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30ucpu4snl85g5ohml49417k5alib8j8?imageView2/2/w/120/format/jpg,6,,0,1726237236137,4
66251b37000000001c037ce1,1713707831000,,644085280000000027000968,有没有一种我给一个照片 它不改变造型特征 生成绘画作品的。 这些我用了它出的只是同类型素材。,61091b900000000001009f9b,画画的快乐生活,https://sns-avatar-qc.xhscdn.com/avatar/6377a44ccefe39e290ced153.jpg?imageView2/2/w/120/format/jpg,2,,0,1726237236152,2
6642efe6000000000401bd5f,1715662823000,,644085280000000027000968,如果想做个小绘本推荐哪个呀,6535f113000000000301f4f4,蓝焰知己公益在行动,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo312evee9vm2005p9lu49grt7krjsltqg?imageView2/2/w/120/format/jpg,4,,0,1726237236171,1
659dfa110000000002026f67,1704851985000,,644085280000000027000968,Civitai是卡通绘画，你认真的吗，这骗到小朋友怎么办？,5be18896e78b0600015a4cda,AI绘画Arrietty,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30tnv1bogkm6g4bohl849cj6q1d5hfe0?imageView2/2/w/120/format/jpg,1,,0,1726237236181,0
66baca17000000000f00f1c2,1723517464000,,644085280000000027000968,肯定是sd目前最强啊,61cac67b0000000010006a99,猪子,https://sns-avatar-qc.xhscdn.com/avatar/63a49fa43309904ce997173c.jpg?imageView2/2/w/120/format/jpg,0,,0,1726237237504,0
66b985550000000020024a0d,1723434326000,,644085280000000027000968,目前SD和MJ是最厉害的,66b1ecb2000000001d032849,哇喔,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo316b37p8i0m6g5plhtip7ea29t0n1lv8?imageView2/2/w/120/format/jpg,0,,0,1726237237527,1
66b61146000000001800d1f1,1723208007000,,644085280000000027000968,最近想学习stable diffusion诶，大家都怎么学的,65853a7b000000003d028024,Midjourney's hands,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30vrfbelt5u5g5pc579tvd014ts5gcc0?imageView2/2/w/120/format/jpg,0,,0,1726237237548,1
66b5c10c000000000b00f24b,1723187468000,,644085280000000027000968,求分享,6022419e0000000001007501,.1,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo315abqne61c605o1286f08t81vb70dq8?imageView2/2/w/120/format/jpg,0,,0,1726237237570,0
66b58279000000000d00db39,1723171450000,,644085280000000027000968,midjourney 哪下载？,602db5b60000000001005798,黑夜角斗士,https://sns-avatar-qc.xhscdn.com/avatar/602db5b60000000001005798.jpg?imageView2/2/w/120/format/jpg,0,,0,1726237237590,0
66b2cccd0000000027010b38,1722993870000,,644085280000000027000968,Midjourney,5c83566f00000000120066dc,倒了个锤子,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30pnhkuifmi005n43apnkgpms7i2i97g?imageView2/2/w/120/format/jpg,0,,0,1726237237611,0
66a84fcd000000002300c68b,1722306510000,,644085280000000027000968,sd上手好难啊[笑哭R],64140c7e0000000012010fd6,十七的ai笔记,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo316e4ta190s6g5p0k1hv4i3umjijlh88?imageView2/2/w/120/format/jpg,0,,0,1726237237631,0
669b15df000000000503b3cc,1721439712000,,644085280000000027000968,midjou rne y,5bce77715cb53f00016f9245,天崖墙绘,https://sns-avatar-qc.xhscdn.com/avatar/644e811b7cf83cd837e36b19.jpg?imageView2/2/w/120/format/jpg,0,,0,1726237237652,0
668f64f3000000001202ea83,1720673523000,,644085280000000027000968,有免费的吗,545b8c96d6e4a923b1b4d8bb,小米粥,https://sns-avatar-qc.xhscdn.com/avatar/2b4cefbb01e0a0824f5c173dde7f98b2.jpg?imageView2/2/w/120/format/jpg,0,,0,1726237237670,0
667ae81d000000001303fb7e,1719330845000,,644085280000000027000968,有手机可以用的嘛[哭惹R]就是想自己玩玩,5eaa8db500000000010075e9,鸽演（碎成皮肤碎片版）,https://sns-avatar-qc.xhscdn.com/avatar/61b23319b8a5d9b927ef904b.jpg?imageView2/2/w/120/format/jpg,0,,0,1726237237691,0
